,ep_01,ep_02,ep_03,ep_04,ep_05,ep_06,ep_07,ep_08,ep_09,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,ep_17,ep_18,ep_19,ep_20,ep_21,ep_22,ep_23,ep_24,ep_25,ep_26,ep_27,ep_28,ep_29,ep_30,ep_31,ep_32,ep_33,ep_34,ep_35,ep_36,ep_37,ep_38,ep_39,ep_40,ep_41,ep_42,ep_43,ep_44,ep_45,ep_46,ep_47,ep_48,ep_49,ep_50
ep_21,2049.3801383651585,6331.219712198261,6327.66628564998,6330.36628938149,6278.082236914778,6075.829011756313,5207.665352195102,1067.6483000526136,1404.086668476846,1737.0885408602824,1574.411406507428,6415.806034262791,6410.0852647586225,6369.535032357499,6412.807146830311,5642.757186360135,4684.378574341022,1597.1987843660268,1542.8382639413153,483.95648321162236,0.0,1048.953506129516,1026.9694075668353,1048.3185031391774,1003.8099715386868,1888.1120107790994,1729.5869580804983,1512.8319328239875,1339.5639141813538,895.2934141577367,895.7430050154653,1572.7186571772575,1556.960002572262,3645.671304193786,3619.4552627480766,1342.8423792581152,1512.7562515014458,1014.3084830892428,1009.7809838744614,1540.7901531391853,1624.9707603172387,6257.511063603058,5708.152314775236,1561.778877545548,6374.553909218768,5199.62651276954,784.9607198264181,1022.8593201025452,862.9135381506258,3149.865448580368
ep_22,8211.642521981552,36160.1472942753,36168.37059804787,36201.89424077125,36264.19166249143,36128.26738435996,35912.42963679378,16828.41622296268,17270.95651969434,17780.406084311624,18272.55917467061,24932.519420001612,31672.15287539876,38583.95108723118,47247.58214556515,60093.21187308677,71585.70717107851,110518.6668694576,156734.84219330034,286451.46580742975,286468.7641692725,0.0,1313.3874914662326,2811.0664048689546,4430.3425149649,8144.365076749089,11177.643349622067,17161.79795612433,29381.05646795682,37040.97292268901,58867.35049926033,4573.916477555944,4141.430886683758,7607.69729316566,7765.9428498075595,4815.754474881323,5411.602937598202,5403.490015585245,5757.857866152405,8934.343496581972,8489.307978715464,36259.924312890565,35976.633091979835,18279.123191506773,47232.07401131433,71675.82047678284,282719.7594461257,4444.778768996953,36861.52030272786,6859.231553565171
ep_23,6837.0249615725115,23786.049880194776,23771.427575627422,23827.654267105747,23959.59485164245,24084.243279518912,23861.48733753713,11878.165027999816,12811.382040119086,13837.599983030326,14840.954043956468,19616.182474821835,21728.903074037564,24425.979724988585,28121.219190842097,33555.01437057641,38656.02698395884,56099.05421151121,79406.60527218948,144825.83583061883,144856.3545161801,891.6154232670739,0.0,981.0302957885534,1941.2892757681946,4798.747093923674,6070.8327019469325,8883.967423572036,14968.843595094673,16821.119536895614,26545.744037421624,4033.6430808683294,3407.9191650360194,7376.233190173069,7570.252213131833,3987.057631811297,4554.261715378745,4130.213860133201,4910.0851598747395,6554.814553947257,7043.514238008516,23953.13548781226,23856.17737161976,14849.035079535295,28095.155553720175,38822.65050226678,142950.80933017007,1959.265758408522,16717.023377464557,6636.8597792460805
ep_24,21220.90177042491,24677.36512286153,24633.884096552367,24630.07851336623,24688.24166496509,24504.34621661561,23384.434315415434,10930.698726720639,11883.391944298904,12838.250212637642,13636.446855950664,30510.22418686596,41194.066987250226,51295.33294579279,63776.873513995226,82133.25486131874,98386.64907391157,154276.46291697302,219038.1734670251,400821.1983840199,400831.14354584477,2297.8431871129214,1219.9477385201142,0.0,1291.425605232857,20966.12423224161,19080.00698714071,24748.60419274712,38325.20182022541,25279.137753212617,41171.42551665299,15579.687448357501,15393.360599929805,9906.248649182919,9967.555384820807,10527.728859774912,10746.984683250515,5296.43754027,5925.561253748055,17014.178337796686,18439.132024546496,24668.291917007013,23934.462293255325,13643.860821496597,63741.1477952555,98554.91829586282,395568.66108803457,1298.9404103183906,25139.934032639925,8940.701990175674
ep_25,5970.534264122106,25130.68242793903,25072.76285517232,25040.496438978753,25043.63102723959,24924.683828051802,24290.75372174793,10869.30025999858,11365.626047780122,11915.551122247634,12382.50834696785,20091.80045275651,21660.404523863377,23772.824328051054,26812.795244000587,31196.76252236084,35408.35632362248,50480.16271169304,71532.86211886695,130673.5164155889,130699.17343455987,3029.077409593091,2092.3961183629253,1078.8168857527953,0.0,4485.530945096799,5114.081799744579,7543.052248949526,13152.892588051327,18073.930671174825,29875.972034970127,4945.014283745766,4451.463894707721,7726.985838173316,7693.650689285619,3681.7206748655235,4019.731170033565,3779.072746660851,4235.55267278074,6010.911703548257,5989.228578375414,25033.240531368858,24610.990924026988,12390.880640058156,26769.75951972879,35669.6193643492,128973.21487621874,68.3681434619937,17977.01739266112,6725.172506304177
ep_26,36028.1931397455,224761.6739569682,224760.7975574891,224760.1524012721,224759.81057353396,224782.148316334,224781.78734542752,225736.26319736737,225736.3409448204,225737.2128573584,225738.3907991203,216397.81075822748,219307.37282807307,218791.29571111634,220371.4977123626,219221.38130332856,220140.97467969617,225379.42227430406,224260.70354820087,226501.62323587568,226502.80169339996,225139.2928721733,225451.34289312866,225620.85166042714,225714.3088863274,0.0,41112.88251946696,40942.63103552439,352441.26449396304,225993.7728971681,226646.95110518,46721.693726100166,358481.60882074514,225505.42061936657,208499.93314747943,87547.83875297602,335709.9664303737,236655.77101919008,200916.66090952494,36822.494902706,377039.50478754024,224759.8176275626,224781.91660293384,225738.40706092372,220371.50614777536,220141.18302150213,227528.8161128271,225519.92078748232,226200.7218852746,208496.64011163026
ep_27,17258.99759537392,71635.63324494564,71632.09813800642,71629.41676365997,71627.64689891206,71552.73676256041,71550.72826422287,68826.32229399323,68827.77965455892,68830.41431086663,68834.02380365734,64067.88880767822,64916.22726290731,64669.719058252864,65242.844420575275,65037.111147267424,65608.24054493994,69240.17534049948,72146.94355038801,88055.39638215941,88057.63987635374,67424.6596582917,67378.86216555335,67317.38447608473,67291.16394634645,16785.620468282494,0.0,5930.367755585925,108509.10004965989,84661.46482153714,109330.50394282133,9824.449640610057,110421.4806212308,66135.4480090472,60542.87727054584,19527.997579610626,102185.87182986733,70154.16601138213,58633.98320697318,8663.48734534183,116860.63486009769,71627.6550275956,71551.88479080885,68834.03441347387,65242.619685172845,65609.19565734742,87989.13936761887,67226.86722069742,84547.66464118984,60542.45576923927
ep_28,6736.685161459669,30722.658086013984,30626.575467120423,30552.09879759555,30487.038409269597,30386.822660298458,30356.101484016883,23836.285223675306,23838.364885782168,23878.247426682065,23933.76089384936,22813.36473986929,22903.87283103187,22803.776075474892,23059.34061844246,23214.67186731284,23685.86625236381,25026.916385410575,28746.539665940978,43042.38977616975,43080.717343842145,22102.497062512797,21945.795296644606,21801.896369055557,21675.779216718638,6221.6837317802365,1776.369372086834,0.0,32998.14285481385,24153.95703206099,28972.66522481615,6072.692545786896,34056.394894487596,21537.9607966935,19835.951565123218,7058.877520041674,31418.266221312777,22173.991736007738,18818.838193848813,4720.112857468693,35889.93494590391,30490.256146791635,30385.384282413885,23940.144172117434,23069.218028903688,23688.643971072826,42716.56440812412,21657.56846471496,24139.756673575528,19670.61955353222
ep_29,79023.06200336543,126998.62956968776,126971.40195420514,126949.53568265025,126930.06713487927,126270.22084165063,126259.17814581197,94641.16765955693,94637.0763933235,94642.64491354248,94652.31047292432,75052.29662945757,71418.1234019641,67524.65792636864,63633.15404502502,59291.77579809297,55014.378573036745,47668.38386942569,53779.30413166545,109781.83132285117,109791.99203972015,70990.98169778124,66028.00252024234,60277.00736409209,53955.80860404199,74235.36653751261,64694.03473512461,53736.402392286676,0.0,120887.0434078464,228461.43566306017,85510.00268796,72710.61180379182,75386.84868186901,75819.70935230669,80728.25148046805,69408.76871562444,73713.59002425807,76829.8314027697,80902.74002032199,63791.45278692376,126930.84003422353,126269.87470493808,94653.92474863719,63636.734080447815,55015.57454794763,108359.02501985546,53927.781810831555,120022.9817927948,75776.62321187288
ep_30,7699.593627786502,58473.615759382636,58404.46568623762,58341.69221715804,58287.26678769146,57738.313707519796,57484.77363103734,26430.26352715371,26472.558244869128,26518.253786466652,26530.784384702074,18645.330981270778,18016.519259514054,18118.873243311016,18212.97356392908,17760.70299185723,17522.803257067902,13039.311484910195,17579.749951866328,30690.003786367928,30700.508574607455,6115.536613602106,5402.761230625107,4704.451968943812,3991.285970326855,7162.480512874678,5592.415798214699,5354.160894371052,5633.316462414565,0.0,1281.871436252616,8287.999637163171,7235.982204836247,7760.547857516167,7197.645020813831,4801.503844302773,4600.298734892465,4266.499744181367,2148.25526702013,10219.726869191469,5882.385004910871,58282.63193611936,57640.208041501675,26530.085706194357,18165.200989052104,17903.947031176354,30227.961362007532,3995.158239514218,198.07894344944867,6851.250182998062
ep_31,10364.102090280827,24323.880440094472,24135.853276968348,23960.80679842864,23804.048601565923,23811.69429584574,23123.163989018067,8650.532741797335,8648.582455433318,8717.65850663088,8680.173342511789,23925.021422708756,23166.447161161224,23112.18381066608,23308.199368649042,22762.93869315817,22123.92551989999,11512.323434004553,14198.942927161403,21991.393037306487,21980.99620885917,6924.192799197614,6219.255298735247,5519.993947784476,4825.677271803836,10565.35270931024,8013.0939015827835,7733.072178176425,6266.935942605004,1086.7479806215924,0.0,10174.65014516783,9691.358444342932,8255.873259571996,7837.134310132624,6404.455081778734,6095.130655961286,3562.8303716786395,2937.1521919533197,8421.051224411945,8775.340109430183,23791.719861460995,23555.23318690111,8676.950355410967,23267.266149787025,22449.203484808517,21480.885176508746,4826.208321985117,1093.7240197765257,7183.206336795938
ep_32,7035.056982985352,32611.34928713259,32620.879105963617,32643.160884518515,32682.100588408175,33193.57465296757,32898.29259996446,12048.72369072332,12421.652599206933,12852.662406725587,13227.709456970277,33999.82502664942,33346.758827388796,34199.44768716896,35762.56190092187,37274.86594544005,38794.625134841684,36004.941833357145,50049.04529595811,89409.15323407509,89464.55870052383,2498.5232000115075,3762.2123840783706,5482.0458857306185,7450.500520856333,6332.51039073596,8592.918971166759,13547.82622383987,20961.97169137353,50405.772670192535,79213.75805964219,0.0,1367.7774091174815,6838.786102087835,7067.929004442302,3134.256148085822,3976.350194423605,4523.2900324884295,5434.271643806976,6413.7664288296355,7315.175466313537,32677.36545551783,33028.46988101721,13236.775413085423,35742.07087628829,38960.655913234965,88303.09254646169,7467.232575455953,50174.68824935522,6057.624086288588
