<TRAINING LOG>
date : 20150419
Unique ID : 20150419111139
fold	cls	tt	clst	cand	no_ctrd	sigma	weight	beta_a 	beta_b	beta_a_bias	beta_b_bias	beta_a_var	beta_b_var	p_val_tr	y_min	y_max	var_max
2	1	0	4	4	5	1.146189	0.000015	2.785386	0.392198	0.115685	0.011059	0.357471	0.003468	0.000000	0.000040	0.000069	0.082109
3	0	0	0	0	1	0.094343	432316.788190	0.006659	21.875327	0.006293	21.650187	0.000040	471.635905	0.000000	0.000000	110.714447	0.142410
3	0	0	0	1	1	0.188686	844.368727	0.042108	3.960069	0.015973	1.850062	0.000570	7.423429	0.000000	0.000000	106.815109	0.142410
3	0	0	0	2	1	0.377372	1.649158	0.705425	3.924804	0.016620	0.120146	0.011214	0.496471	0.000001	0.000548	0.983529	0.142410
3	0	0	0	3	1	0.754744	0.003221	2.860915	3.018515	0.024110	0.024540	0.093776	0.098023	0.527763	0.000435	0.002831	0.142410
3	0	0	0	4	1	1.509489	0.000006	3.949102	2.370258	0.050893	0.025344	0.255266	0.070415	0.246737	0.000004	0.000006	0.142410
3	0	0	1	0	2	0.091170	294098.703725	0.003612	0.370474	0.000297	0.103496	0.000003	0.049721	0.000000	0.000000	106.773919	0.132992
3	0	0	1	1	2	0.182340	574.411531	0.045228	1.176048	0.002773	0.128886	0.000146	0.170707	0.000000	0.000000	79.293417	0.132992
3	0	0	1	2	2	0.364680	1.121898	0.659388	2.262731	0.008716	0.044605	0.006714	0.126389	0.000000	0.003497	0.745232	0.132992
3	0	0	1	3	2	0.729360	0.002191	2.641357	2.890614	0.022580	0.023774	0.082625	0.092123	0.729878	0.000603	0.003263	0.132992
3	0	0	1	4	2	1.458720	0.000004	3.977894	2.372388	0.055500	0.027344	0.278747	0.074888	0.166210	0.000005	0.000008	0.132992
3	0	0	2	0	3	0.087184	293178.610110	0.014344	1.880536	0.003931	0.739749	0.000051	1.471561	0.000000	0.000000	115.316705	0.121617
3	0	0	2	1	3	0.174368	572.614473	0.080393	1.614064	0.003435	0.118306	0.000281	0.194101	0.000000	0.000000	80.643178	0.121617
3	0	0	2	2	3	0.348737	1.118388	0.675418	1.838495	0.005737	0.023761	0.005916	0.063188	0.000010	0.002571	0.759073	0.121617
3	0	0	2	3	3	0.697473	0.002184	2.311754	2.572522	0.018520	0.020892	0.061308	0.076102	0.803088	0.000847	0.004225	0.121617
3	0	0	2	4	3	1.394946	0.000004	3.160769	2.163632	0.030994	0.018084	0.133464	0.051300	0.280440	0.000007	0.000011	0.121617
3	0	0	3	0	4	0.091560	141509.773473	0.008987	0.549394	0.000990	0.150214	0.000012	0.100440	0.000000	0.000000	35.727253	0.134131
3	0	0	3	1	4	0.183120	276.386276	0.105394	1.352615	0.003109	0.071391	0.000401	0.111230	0.000000	0.000000	34.840185	0.134131
3	0	0	3	2	4	0.366239	0.539817	1.088403	2.529427	0.007573	0.023270	0.012176	0.082011	0.758255	0.001862	0.442966	0.134131
3	0	0	3	3	4	0.732479	0.001054	2.929103	2.905267	0.027544	0.025385	0.109415	0.096079	0.311684	0.000506	0.002676	0.134131
3	0	0	3	4	4	1.464957	0.000002	3.995506	2.346168	0.056516	0.027512	0.284664	0.074610	0.291693	0.000005	0.000007	0.134131
