fold,cls,tt,clst,cand,no_ctrd,sigma,weight,beta_a ,beta_b,beta_a_bias,beta_b_bias,beta_a_var,beta_b_var,p_val_tr,y_min,y_max
2,0,0,2,2,3,0.359625,0.848054,0.883085,2.244703,0.007200,0.025066,0.009434,0.079197,0.800188,0.003860,0.648082
2,0,0,2,3,3,0.719250,0.001656,2.458287,2.347349,0.020182,0.019465,0.070841,0.065624,0.811899,0.000728,0.003240
2,0,0,2,4,3,1.438499,0.000003,3.491119,2.044989,0.039870,0.020020,0.182902,0.051946,0.155842,0.000006,0.000009
2,0,0,3,0,4,0.094002,111656.189215,0.012067,0.945698,0.002246,0.315466,0.000030,0.341506,0.000000,0.000000,134.410491
2,0,0,3,1,4,0.188005,218.078495,0.106217,1.537759,0.003671,0.093559,0.000399,0.153247,0.000000,0.000000,40.632248
2,0,0,3,2,4,0.376009,0.425935,0.943098,1.886215,0.006709,0.018937,0.010239,0.055187,0.587325,0.002600,0.331026
2,0,0,3,3,4,0.752019,0.000832,2.566709,2.357445,0.022102,0.020138,0.080020,0.067182,0.516710,0.000468,0.002011
2,0,0,3,4,4,1.504038,0.000002,3.533398,2.074705,0.041934,0.021066,0.193493,0.054807,0.641174,0.000004,0.000006
2,0,0,4,0,5,0.106485,29080.954209,0.017917,1.714907,0.003496,0.520320,0.000055,0.911802,0.000000,0.000000,100.493354
2,0,0,4,1,5,0.212971,56.798739,0.163357,1.916669,0.004470,0.083754,0.000811,0.172640,0.000000,0.000000,13.784247
2,0,0,4,2,5,0.425942,0.110935,1.142458,2.109294,0.007709,0.018880,0.013933,0.060655,0.585126,0.002248,0.099568
2,0,0,4,3,5,0.851884,0.000217,1.968156,2.312499,0.014496,0.018337,0.042697,0.063309,0.863002,0.000213,0.000612
2,0,0,4,4,5,1.703767,0.000000,2.740992,2.139450,0.024468,0.017348,0.095120,0.051973,0.528287,0.000001,0.000002
2,1,0,0,0,1,0.047070,225665974.996154,0.017129,0.217674,-0.000116,0.003090,0.000005,0.001561,0.000000,0.000000,20190964.647467
2,1,0,0,1,1,0.094141,440753.857414,0.189335,0.832052,0.000775,0.008185,0.000397,0.012057,0.000000,0.000000,241056.512037
2,1,0,0,2,1,0.188281,860.847378,1.016666,1.073419,0.003125,0.003254,0.007414,0.008024,0.003596,0.000000,740.298463
2,1,0,0,3,1,0.376563,1.681343,1.674481,0.506183,0.025035,0.004453,0.056177,0.002532,0.000000,0.001258,1.619110
2,1,0,0,4,1,0.753125,0.003284,1.669113,0.199268,0.057872,0.003939,0.111308,0.000652,0.000000,0.000543,0.003253
2,1,0,1,0,2,0.078314,1155079.624264,0.010455,0.142679,-0.000113,0.002776,0.000004,0.001314,0.000000,0.000000,472171.725997
2,1,0,1,1,2,0.156628,2256.014891,0.182136,0.867954,0.001009,0.010603,0.000412,0.015254,0.000000,0.000000,1803.906301
2,1,0,1,2,2,0.313256,4.406279,1.142291,1.225649,0.003333,0.004006,0.008238,0.010339,0.001116,0.000600,4.176616
