,ep_01,ep_02,ep_03,ep_04,ep_05,ep_06,ep_07,ep_08,ep_09,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,ep_17,ep_18,ep_19,ep_20,ep_21,ep_22,ep_23,ep_24,ep_25,ep_26,ep_27,ep_28,ep_29,ep_30,ep_31,ep_32,ep_33,ep_34,ep_35,ep_36,ep_37,ep_38,ep_39,ep_40,ep_41,ep_42,ep_43,ep_44,ep_45,ep_46,ep_47,ep_48,ep_49,ep_50
ep_21,5449.792817582836,6415.8501113909,6251.861593645849,6153.0238327921725,5882.774401288312,5657.937667190119,4946.003179407379,1466.3343445319767,1574.3867962185732,1962.8766161347805,1436.5457551633533,6484.298518355469,6318.545081052093,6151.233489179667,6170.739538606624,5306.555278128231,4421.667169848266,2047.4489988184098,1725.4957911603838,943.6648025302626,0.0,3372.2845458648503,3049.2889161918843,2777.4640533882193,2438.839750621496,5480.426134965543,4191.599871254043,3973.534267636792,3135.9818255153236,1148.633529261356,1086.2813678826135,5100.573491734707,4889.97957348616,5192.622707752629,4999.1947026574,3225.760511282197,3146.168096062564,1658.8536928451078,1457.1688953634023,4233.64236976122,4534.107522728412,5854.076388788007,5337.080764671913,1413.3441384157436,6197.489324040643,4756.159566823891,715.2527400081318,2463.3560503431395,1064.0335561229515,4345.976970358496
ep_22,20706.563167905257,21267.00568942743,21267.531679125135,21266.685287110136,21271.15200042483,21142.871888274592,20433.47480107338,16512.87992618278,16635.72359977541,16810.0208581311,16894.017254981656,543977.1583292405,840808.6150190023,1124441.5351964391,1423503.5260274466,1891320.8892372027,2262911.5548664387,3695142.263379103,5180594.215345807,9433018.118033787,9433018.179783864,0.0,6993.758204951189,15240.543946506656,24510.04796904238,177469.07925279194,299121.66014365305,471582.2819148869,850675.8015991013,233229.2713584286,372905.73822233756,23937.48315162931,23897.681192013082,40478.642143224744,40644.50468423952,78246.68749630461,78165.90186475686,62382.95361222365,65940.09146338743,70324.06968543115,98610.66806526952,21261.096291158134,20801.787804437066,16904.17706933392,1423502.898111037,2262914.715595292,9338611.178653618,24603.68402817754,231703.36898352735,40412.28189755664
ep_23,6022.547771007168,26812.281804291702,26811.908527213895,26810.485124078208,26813.314882699695,26722.742940551278,26164.416933765424,23445.43403137562,23531.478235989467,23654.429354796262,23713.649406559976,66951.41180252035,100814.575064519,134040.60541186237,169502.4038743852,225221.30936773674,269734.7600468762,441453.0267594514,620143.9622765527,1131475.6242398615,1131476.1365728192,7072.208762651137,0.0,8435.021584619053,17923.27464958948,22935.339468829265,40317.16879481728,70687.46549847441,126682.94316189858,231046.12976341363,373783.49883203045,16616.99531819179,16607.129012740363,17808.991753198043,17443.771978980825,15344.420656557213,15381.75899662057,15305.106800148269,16942.120436482317,11033.897433533679,12283.320858094427,26805.338331674273,26453.701715329327,23720.88850690503,169497.13046875858,269761.27536624257,1120345.90273279,17999.42935492456,229849.1916385766,16895.61919537406
ep_24,7830.114523596598,19334.957951311913,19334.112458637464,19329.808673771637,19337.20194089958,19266.834489319233,18807.73096365067,15126.5677177057,15160.311199682552,15235.250524723719,15283.935934714125,46194.625694642986,69226.97768322284,91856.7534761214,116003.34213181287,153966.73126759854,184245.6757605709,301252.7610019228,423025.0993937152,771653.9810250924,771654.9007503054,7093.710764803753,3859.479700321868,0.0,4340.901611591375,14480.414645267123,24380.831946245817,41026.54530495139,75319.24281206609,101807.39234661238,167083.916455764,11883.357314816398,11871.034782529929,12664.528810618796,12482.309146269632,11263.53995230956,11281.345706037246,10962.769964288525,11740.336878408663,9567.22538362292,10093.821974543922,19337.588147414026,19049.397208854276,15299.244412605953,115999.12005028527,184266.96029008963,763976.561202623,4374.843794093263,101257.6128377958,12049.025698584144
ep_25,5085.266145572248,14711.357199740653,14710.323027044022,14702.657746466894,14698.97237699748,14557.157209189545,13773.469172941954,7920.329289238762,8049.260081827332,8234.236827824756,8290.461520856967,113918.40581261992,177349.3963290772,238089.78366052167,302185.42194650706,402464.85132694524,482136.93709810503,789312.748089357,1108003.4585813608,2020332.772452663,2020333.0572027045,4020.3223991506375,2866.064276822199,1518.816777230644,0.0,34830.13352989463,60671.60397859138,97472.06413206668,178642.01052102706,34174.9702844759,57030.20297126242,4842.124932356951,4840.752044075645,8614.200575345289,8621.59925754859,13768.96832242561,13776.265254992879,10219.887823084218,10962.371593957881,12444.362267683553,18248.333893850868,14691.73212674062,14193.830076618111,8312.490308808694,302183.38662796875,482147.63829517126,2000075.5116909645,64.27163865066149,33883.91480610437,7838.229423623013
ep_26,5124.746996814018,34557.3058746985,34556.59239485116,34555.014611298044,34553.54958250945,34564.28738439277,34482.82796944669,34576.46790578567,34591.899610090375,34604.9888687825,34607.22702494568,33756.474371854754,33955.68339792848,34214.86764597423,34760.17255593,35219.37274240653,35658.523267827186,39693.15314905205,44357.517906725996,62482.33654843968,62482.940112359975,34725.179442357155,34755.74166515603,34777.28002590436,34786.55691538443,0.0,7190.814588894662,7429.345340036623,48568.826915154714,35919.460910398804,37801.63402791934,7579.9650307206075,48840.21602311317,33385.07532091668,31274.18352020884,14668.489716589786,46352.873048711044,35126.99232229928,30784.35116346795,5968.21928740332,51217.12682082122,34551.68975769102,34525.98009162892,34607.13550700195,34754.70277344306,35695.962808922544,62186.98749261567,34765.84016893659,35931.46818355996,31257.897928264443
ep_27,7928.243243518319,52762.786548081895,52762.41301375487,52753.41805915312,52741.77337768323,52333.40910320904,51810.50502324116,35636.15903557509,35807.1680391307,35939.011662113604,35933.85193227621,31134.43266933513,31225.521806971803,31228.738575873154,31433.64578729302,30571.091837427914,29555.522985611144,29320.431399115994,29338.544651677134,29970.168769107382,29968.891007100185,29101.022596254003,29140.62512763375,29173.65642148943,29182.24358477964,7948.125678092121,0.0,722.5337565941534,44237.961506834705,29474.53969963167,29925.2040295495,2288.16350030016,45186.16874820501,28184.828243750944,25958.278710198905,8000.734686244079,41898.37046654015,29591.852480194582,25026.300173536532,5870.8047104257585,47956.6940860771,52726.87303007574,52090.43109633192,35929.294641471155,31383.851338477052,29998.730461888088,30121.27276179293,29162.4961646565,29479.481156306596,25837.90125661627
ep_28,7430.476784566478,27434.43302662247,27433.82731958165,27441.232556434563,27434.423784525734,27454.744185640786,27446.24645020951,26537.26238242568,26522.286678971985,26531.107976353902,26532.34396170539,25203.549060145422,25291.89559024788,25421.84169905744,25820.664345963014,26035.47886841421,26294.827827480516,29050.49212703992,32266.362907844326,45468.15333241256,45478.56177157634,26219.961182947543,26221.96484922916,26215.651091684176,26193.260407154794,7026.086614381525,1395.0061319281263,0.0,40037.43191739244,27657.041758127958,30634.52716866274,3799.606166478179,41030.5117717764,25693.719911748125,23703.896080889186,7796.303722926009,38042.99072508289,26779.487384580192,22637.745227582214,3666.589965070002,43443.18490659069,27439.911560018234,27450.895653690324,26541.391321274037,25833.92137184026,26298.442293984866,45299.85687474481,26174.62444151663,27661.396332540273,23512.61848818974
ep_29,26368.2568835277,18144.08891177073,18143.22359430329,18154.36731946729,18143.92013925423,18165.45624701186,18152.2527608044,17455.606765510493,17432.245853285833,17444.97293736735,17446.05529839868,17581.64569126642,17240.44183590666,16892.16710976108,16545.591702649348,16216.07949058733,15992.598852530185,14894.214222114037,15717.111091705547,22177.816925316638,22199.022106051198,16574.694175311095,16148.288885539218,15685.765656070032,15219.671871415805,28299.65123332151,25490.073201706597,24985.548333269024,0.0,21586.834631379694,34890.08195568861,26044.455035079834,10562.464206185658,16394.010289017006,17346.028507590727,23874.895207316396,9998.78256164626,15246.166656157819,17556.589127556323,26403.556095481734,9919.028678091132,18152.216835756073,18159.63916362107,17459.811643930792,16566.27269395015,15998.541016953954,22114.033823340058,15226.764029333992,21478.982039009272,17083.71282080444
ep_30,10734.246810558434,17164.395622742704,17163.05810436131,17147.493678860486,17127.63854259432,17093.7864067466,16115.084563165128,6043.556850018561,6445.223648195591,6754.767715594736,6745.687149134162,18814.214812568473,18829.40327188306,19277.30508230302,19960.273362812713,20426.123599786402,20857.90104802306,22367.474360604745,31001.22101119821,55994.29744255821,55994.908533846065,3620.1442023577456,3507.921479549313,3377.082902388124,3228.857350060899,10898.410692505318,8735.1342926149,8761.123893389036,8281.126464232428,0.0,2154.855209524488,8905.0879033402,8954.210411130722,6248.177814944998,6203.489215533023,6801.95679555574,6908.541681262643,3914.1289796213678,3866.2219039979054,9302.666222023037,9881.335841233467,17105.218170776236,16644.926356168315,6739.765909926323,19903.55856454447,21219.028822645734,55376.1800649103,3228.312583791858,55.963255629212,5721.752942371895
ep_31,17703.61493549019,15540.927724155572,15539.315796761071,15524.195965532244,15497.712554435382,15337.801842177823,14224.456104498739,6318.360558336906,6241.574096574645,6536.592193183283,6524.617519586553,16351.086263964311,16257.855757277679,16354.180213259164,16583.848676352372,15993.705673310984,15370.232583594296,12635.330452947783,16866.189457620225,29469.690472482947,29472.479311020237,4031.6069579813397,3951.596141845238,3861.5790175482593,3754.9238920532107,18731.672708620517,15119.816893616908,15048.39446338751,13033.523555377315,1500.6595994287022,0.0,14959.699166044122,15095.81707615065,10721.036299779807,10807.985474561647,11402.07122767756,11647.320090061045,4693.074926450712,4670.487355894859,15775.28404522643,16885.87218420866,15472.849239137071,14830.361220992845,6521.643869477131,16517.65762127485,15860.363553887933,29110.830370922828,3756.532809076,1514.6329714224744,9298.562550901039
ep_32,6217.141388637841,14842.798952094981,15054.187159492343,15335.69140921219,15692.600132700929,15915.619476334175,15468.689630563638,10406.384344607668,11507.591533448598,12673.092717237143,13714.400984064969,23156.0207649203,32280.071488424117,41647.711111749304,51902.00723919074,67971.62999296034,80902.71172502467,131421.33100302785,184561.0923782163,336639.8189119492,336641.5492126571,3398.701161976073,4224.485496486377,5502.486285859603,6937.661389709295,8226.747971634468,12147.889063125269,19491.183571400932,33870.01281905599,44528.840155302685,70117.45903437118,0.0,1464.1779709230887,7796.070939029195,7815.362027582929,2177.539690691603,2626.32046226737,3272.638733468796,2274.912364273659,4732.621453023561,6472.991997786876,15678.967025973556,15459.63413190307,13726.914355801126,51884.78267666914,80991.07157050258,333286.5661842323,6983.186207962632,44274.715521378996,6500.511576991532
